School,Type,Date,City,State,Time,Latitude,Longitude
Panorama Elementary School,Elementary,1987-03-30,Santa Ana,CA,11:17 AM,33.7494951,-117.873221
Murray-Wright High School,High,1987-04-16,Detroit,MI,12:00 PM,42.3315509,-83.0466403
Grant High School,High,1987-04-30,Portland,OR,2:15 PM,45.5202471,-122.674194
Pike Township High School,High,1987-05-03,Indianapolis,IN,11:30 AM,39.7683331,-86.1583502
Leto High School,High,1987-05-06,Tampa,FL,9:20 AM,27.9477595,-82.458444
MacAuthur Junior High,Junior High,1987-05-06,Jonesboro,AR,,35.8272257,-90.6949871
Oak Lawn Community High School,High,1987-05-13,Oak Lawn,IL,,41.7108662,-87.7581081
Illiana Christian High School,High,1987-09-28,Lansing,IL,,41.5662245,-87.5381569
DuSable High School,High,1987-10-14,Chicago,IL,8:00 AM,41.8755616,-87.6244212
Southwood Elementary School,Elementary,1987-10-30,Kingston,NC,9:00 PM,35.9587941,-78.54340242581414
Andrews High School,High,1987-10-31,Andrews,SC,20:00:00,33.451278,-79.5608971
Southwestern High School,High,1987-11-04,Detroit,MI,10:50 AM,42.3315509,-83.0466403
Clearwater High School,High,1987-11-14,Clearwater,FL,,27.9658533,-82.8001026
Perales Elementary School,Elementary,1987-11-30,San Antonio,TX,3:50 PM,29.4246002,-98.4951405
Englewood High School,High,1987-12-02,Jacksonville,FL,,30.3321838,-81.655651
East New York High School of Transit Technology,High,1987-12-04,New York,NY,12:55 PM,40.7127281,-74.0060152
Grady Vocational-Technical School,High,1987-12-15,Brighton Beach,NY,9:45 AM,40.57964365,-73.96111022551311
Mayde Creek High School,High,1987-12-16,Katy,TX,10:00 AM,29.7857853,-95.8243956
Springfield High School,High,1988-01-05,Springfield,PA,9:00 PM,39.9306677,-75.3201879
Gaither High School,High,1988-01-06,Tampa,FL,11:00 AM,27.9477595,-82.458444
Crawford County Joint Vocational Technical School,High,1988-01-08,Meadville,PA,8:45 AM,41.641445,-80.151449
Simsboro High School,High,1988-01-20,Ruston,LA,8:00 AM,32.5297498,-92.6386604
Reagan High School,High,1988-01-29,Austin,TX,8:45 PM,30.2711286,-97.7436995
West End Christian Elementary School,Elementary,1988-02-02,Tuscaloosa,AL,8:40 AM,33.2095614,-87.5675258
Pinellas Park High School,High,1988-02-11,Largo,FL,,27.9094665,-82.7873244
Bristol High School,High,1988-02-26,Bristol,RI,11:51 AM,41.6770463,-71.2661597
Lessenger Junior High,Junior High,1988-03-04,Detroit,MI,,42.3315509,-83.0466403
Cajon High School,High,1988-03-23,San Bernadino,CA,,34.1636319,-114.3046925
Travis High School,High,1988-03-24,Austin,TX,4:15 PM,30.2711286,-97.7436995
Martin Luther King High School,High,1988-05-05,Chicago,IL,,41.8755616,-87.6244212
Fort Myers Middle School,Middle,1988-05-16,Fort Myers,FL,3:43 PM,26.640628,-81.8723084
Hubbard Woods Elementary School,Elementary,1988-05-20,Winnetka,IL,9:00 AM,42.1080703,-87.7365286
Public School 67,Elementary,1988-05-31,Bronx,NY,,40.8466508,-73.8785937
Wingfield High School,High,1988-06-02,Jackson,MS,12:30 PM,32.2998686,-90.1830408
Joy Middle School,Middle,1988-06-17,Detroit,MI,9:30 AM,42.3315509,-83.0466403
Aiea High School,High,1988-06-30,Oahu,HI,10:25 AM,21.48343645,-158.03648372697478
Siefert Elementary School,Elementary,1988-07-10,Milwaukee,WI,7:45 PM,43.0349931,-87.922497
Lanier High School,High,1988-07-11,Jackson,MS,10:43 AM,32.2998686,-90.1830408
Central High School,High,1988-08-31,Detroit,MI,10:50 AM,42.3315509,-83.0466403
West Franklin Elementary School,Elementary,1988-08-31,Anderson,SC,10:00 PM,34.5068601,-82.6506264
Garinger High School,High,1988-09-02,Charlotte,NC,21:30:00,35.2272086,-80.8430827
Glen Hills High School,High,1988-09-02,Augusta,GA,22:55:00,33.4709714,-81.9748429
Lincoln High School,High,1988-09-03,Dallas,TX,,32.7762719,-96.7968559
Moses Montefoire Public School,Elementary,1988-09-22,Chicago,IL,10:00 AM,41.8755616,-87.6244212
Oakland Elementary School,Elementary,1988-09-26,Greenwood,SC,11:30:00,34.1954001,-82.1617883
Mascotte Elementary School ,Elementary,1988-10-03,Mascotte,FL,11:00 AM,28.5783313,-81.8867452
Istrouma Senior High School,High,1988-10-04,Baton Rouge,LA,,30.4494155,-91.1869659
J E B Stuart Junior High School (bus),Junior High,1988-10-04,Jacksonville,FL,,30.3321838,-81.655651
Edmondson Westside Senior High School,High,1988-10-05,Baltimore,MD,12:00 PM,39.2908816,-76.610759
Most Pure Heart of Mary School,Elementary,1988-10-06,Mobile,AL,,30.6913462,-88.0437509
Dick Dowling Elementary School,Elementary,1988-10-07,Port Arthur,TX,8:20 AM,29.8716577,-93.9332302
Southwestern Senior High School,High,1988-10-07,Baltimore,MD,,39.2908816,-76.610759
Paxon High School,High,1988-11-01,Jacksonville,FL,,30.3321838,-81.655651
Glendale Intermediate School,Middle,1988-11-07,Salt Lake City,UT,,40.7596198,-111.886797
Abilene Cooper High School,High,1988-11-22,Abilene,TX,,32.44645,-99.7475905
Atlantic Shores Christian School,K-12,1988-12-16,Virginia Beach,VA,10:30 AM,36.8529841,-75.9774183
Henderson Junior High School,Middle,1989-01-05,Little Rock,AR,8:00 AM,34.7465071,-92.2896267
Cleveland Elementary School,Elementary,1989-01-17,Stockton,CA,11:59 AM,37.9577016,-121.290779
Woodrow Wilson HIgh School,High,1989-01-26,Washington,DC,2:25 PM,4.6529539,-74.0835643
Rigby Junior High School,,1989-02-09,Rigby,ID,11:00:00,43.6751937,-111.918002
Thomas Jefferson Junior High School,Junior High,1989-02-10,Kearns,UT,,40.6528603,-112.004618
Wirt High School,High,1989-03-03,Gary,IN,12:09 PM,41.6020962,-87.3370646
A Maceo Smith High School,High,1989-04-26,Dallas,TX,,32.7762719,-96.7968559
Salem High School,High,1989-09-01,Virginia Beach,VA,21:00:00,36.8529841,-75.9774183
Dysart High School,High,1989-09-11,El Mirage,AZ,7:30 AM,33.6130338,-112.324486
Jackson County High School,High,1989-09-18,McKee,KY,,37.430364,-83.9979834
Loara High School,High,1989-10-05,Anaheim,CA,9:30 AM,33.8347516,-117.911732
Oliver Wendell Holmes Middle School,Middle,1989-10-31,Dallas,TX,,32.7762719,-96.7968559
Alfred E. Smith High School,High,1989-11-13,New York,NY,,40.7127281,-74.0060152
Workman Junior High School,Junior High,1989-11-15,Arlington,TX,3:45 PM,32.7355816,-97.1071186
Channel Islands High School,High,1989-11-22,Oxnard,CA,3:00 PM,34.1976308,-119.180381
Caddo Magnet High School,High,1989-12-04,Shreveport,LA,,32.5135356,-93.7477839
Serra Catholic High School bus,High,1989-12-05,McKeesport,PA,,40.3478472,-79.864215
W W Samuell High School,High,1989-12-05,Dallas,TX,8:20 AM,32.7762719,-96.7968559
Chester High School,High,1989-12-12,Chester,SC,,34.7048613,-81.2142561
Central High School,High,1990-01-16,Providence,RI,,41.8239891,-71.4128343
Taft High School,High,1990-02-20,Cincinnati,OH,3:00 PM,39.1014537,-84.5124602
New Utrecht High School,High,1990-03-27,Brooklyn,NY,8:40 AM,40.6526006,-73.9497211
Skyline High School,High,1990-04-03,Dallas,TX,,32.7762719,-96.7968559
Mount Pleasant High School,High,1990-05-04,East San Jose,CA,,37.326535,-121.810845
Hickman County High School,High,1990-05-20,Centerville,TN,9:00 AM,35.7789565,-87.4669587
Sunrise Elementary School,Elementary,1990-05-31,Fort Worth,TX,10:15 AM,32.753177,-97.3327459
Myers Park High School,High,1990-08-24,Charlotte,NC,,35.2272086,-80.8430827
Eldorado High School,High,1990-08-27,Las Vegas,NV,7:15 AM,36.1672559,-115.148516
W H Adamson High School,High,1990-08-27,Dallas,TX,10:15 AM,32.7762719,-96.7968559
South Forsyth Middle School - High School,6-12,1990-09-06,Cumming,GA,08:25:00,34.2073196,-84.1401926
Sam Houston High School,High,1990-09-11,San Antonio,TX,11:55 AM,29.4246002,-98.4951405
Legion Field Statium (high school game),High,1990-09-22,Birmingham,AL,,33.5206824,-86.8024326
W H Adamson High School,High,1990-10-02,Dallas,TX,4:50 PM,32.7762719,-96.7968559
Charlestown High School,High,1990-10-29,Charlestown,IN,11:10 AM,38.45312,-85.6702407
Naaman Forest High School,High,1990-10-30,Garland,TX,,32.912624,-96.6388833
Justin Kimball High School,High,1990-11-10,Dallas,TX,20:40:00,32.7762719,-96.7968559
Salmen High School,High,1990-12-13,Slidell,LA,8:52 PM,30.2751945,-89.7811745
Richardson High School,High,1991-01-08,Richardson,TX,9:45 AM,32.9481789,-96.7297206
Hood Middle School,Middle,1991-01-17,Dallas,TX,,32.7762719,-96.7968559
Booker T. Washington High School,High,1991-02-19,New Orleans,LA,1:00 PM,29.9759983,-90.0782127
Selma High School,High,1991-03-13,Selma,AL,9:35 AM,32.4078632,-87.0207473
Woodmont High School,High,1991-03-14,Piedmont,SC,,34.7023389,-82.4645714
Garinger High School,High,1991-03-25,Charlotte,NC,2:20 PM,35.2272086,-80.8430827
Northwest High School,High,1991-04-11,Rock Hill,SC,8:00 AM,34.9248667,-81.0250784
Humphrey's County High School,High,1991-04-23,Belzoni,MS,,33.1842912,-90.4892563
Ralph J. Bunche Middle School,Middle,1991-04-23,Compton,CA,,33.894927,-118.226624
Franklin Alternative Middle School,Middle,1991-05-10,Columbus,OH,2:00 PM,39.9622601,-83.0007065
Coronado Middle School,Middle,1991-05-16,Kansas City,KS,,39.1134562,-94.626497
Robert A. Millikan Junior High School,Junior High,1991-05-21,Sherman Oaks,CA,,34.1508718,-118.448986
School of Choice,Unknown,1991-05-21,Pahokee,FL,10:30 AM,26.8200607,-80.6653351
Westchester High School,High,1991-07-22,Los Angeles,CA,10:30 AM,34.0536909,-118.242766
Enterprise Middle School,Middle,1991-07-30,Compton,CA,,33.894927,-118.226624
Madison High School,High,1991-09-13,Houston,TX,11:00 PM,29.7589382,-95.3676974
Woodson High School,High,1991-09-17,Chicago,IL,5:00 PM,41.8755616,-87.6244212
Crosby High School,High,1991-09-18,Crosby,TX,,29.91154,-95.0632549
Spring Woods High School (bus),High,1991-10-02,Houston,TX,7:14 AM,29.7589382,-95.3676974
Dorsey High School,High,1991-10-04,Los Angeles,CA,5:27 PM,34.0536909,-118.242766
Roosevelt High School,High,1991-10-04,Los Angeles,CA,,34.0536909,-118.242766
James Monroe High School,High,1991-10-09,Bronx,NY,9:15 AM,40.8466508,-73.8785937
Madison Park High School,High,1991-10-11,Roxbury,MA,15:55:00,42.3248426,-71.0950158
Genevieve Sparks Elementary School,Elementary,1991-10-15,Pasadena,TX,1:15 PM,29.6910753,-95.2092076
Monadnock Regional High School,High,1991-10-15,Swanzey,NH,,42.8742651,-72.2815335
Woodruff High School,High,1991-10-15,Woodruff,SC,12:30 PM,34.7395701,-82.0370466
Oak Cliff High School,High,1991-10-23,Dallas,TX,7:45 AM,32.7762719,-96.7968559
Walter L. Cohen Senior High School,High,1991-11-06,New Orleans,LA,3:30 PM,29.9759983,-90.0782127
Ysleta High School,High,1991-11-11,El Paso,TX,,31.7550511,-106.488234
Milby High School,High,1991-11-14,Houston,TX,12:00 AM,29.7589382,-95.3676974
Thomas Jefferson High School,High,1991-11-25,Brooklyn,NY,10:30 AM,40.6526006,-73.9497211
Whiteville High School,High,1991-12-26,Whiteville,NC,,34.3387802,-78.7030721
Greenwood High School,High,1992-01-17,Greenwood,SC,12:00:00,34.1954001,-82.1617883
Francis W. Gregory Junior High School,Junior High,1992-01-28,Gentilly,LA,,30.0156248,-90.0518356
Francis W. Gregory Junior High School,Junior High,1992-01-31,Gentilly,LA,1:30 PM,30.0156248,-90.0518356
Douglass High School,High,1992-02-06,Oklahoma City,OK,2:20 PM,35.4729886,-97.5170536
Booker T. Washington High School,High,1992-02-07,Norfolk,VA,12:47 PM,36.8448348,-76.2863999
Thomas Jefferson High School,High,1992-02-26,Brooklyn,NY,8:40 AM,40.6526006,-73.9497211
Hamilton Middle School,Middle,1992-03-05,Obetz,OH,,39.8789527,-82.9507363
O Perry Walker High School,High,1992-03-31,Algiers,LA,8:15 AM,29.9413467,-90.0375901
Fort Myers High School,High,1992-04-09,Fort Myers,FL,9:15 AM,26.640628,-81.8723084
Lincoln High School,High,1992-04-17,Dallas,TX,,32.7762719,-96.7968559
Lindhurst High School,High,1992-05-01,Olivehurst,CA,,39.0954484,-121.5521858
Huntsville Junior High School,Junior High,1992-05-14,Huntsville,TX,7:45 AM,30.7235263,-95.5507771
Silverado Middle School,Junior High,1992-05-14,Napa,CA,8:15 AM,38.2971367,-122.2855293
Venice High School,High,1992-05-29,Los Angeles,CA,,34.0536909,-118.242766
Archbishop Carroll High School,High,1992-05-30,Washington,DC,23:50:00,4.6529539,-74.0835643
Merced High School,High,1992-06-06,Merced,CA,11:18 PM,37.3029568,-120.4843269
Palo Duro High School,High,1992-09-11,Amarillo,TX,10:00 AM,35.2072185,-101.833824
Hiram Johnson High School,High,1992-09-28,Sacramento,CA,3:10 PM,38.5810606,-121.493895
Hollibrook Elementary School,Elementary,1992-09-30,Houston,TX,10:30 PM,29.7589382,-95.3676974
Paramount High School,High,1992-09-30,Los Angeles,CA,15:00:00,34.0536909,-118.242766
Desert View High School,High,1992-10-13,Tucson,AZ,,32.2228765,-110.974847
Evander Childs High School,High,1992-10-19,Bronx,NY,1:47 PM,40.8466508,-73.8785937
Finney High School,High,1992-11-04,Detroit,MI,10:30 AM,42.3315509,-83.0466403
Marcus Garvey Academy,K-8,1992-11-04,Detroit,MI,2:45 PM,42.3315509,-83.0466403
Mumford High School,High,1992-11-04,Detroit,MI,2:45 PM,42.3315509,-83.0466403
Sherman Elementary School,Elementary,1992-11-10,Chicago,IL,,41.8755616,-87.6244212
Langham Creek High School,High,1992-11-13,Cypress,TX,2:00 PM,33.0440087,-95.2691103
Fairfield High School,High,1992-11-16,Birmingham,AL,,33.5206824,-86.8024326
Tilden High School,High,1992-11-20,Chicago,IL,10:00 AM,41.8755616,-87.6244212
Robert E. Lee High School,High,1992-11-24,Montgomery,AL,,32.3669656,-86.3006485
Orr High School,High,1992-11-30,Chicago,IL,,41.8755616,-87.6244212
Woodson High School,High,1992-12-03,Chicago,IL,7:00 PM,41.8755616,-87.6244212
Walton High School,High,1992-12-14,Walton,NY,9:14 AM,42.1695296,-75.1293351
Brentwood High School,High,1993-01-05,Brentwood,NY,5:27 PM,40.7812093,-73.2462273
Crawford County Joint Vocational Technical School,High,1993-01-08,Meadville,PA,08:00:00,41.641445,-80.151449
Norland Senior High School,High,1993-01-12,Miami,FL,3:15 PM,25.7741728,-80.19362
East Carter High School,High,1993-01-18,Grayson,KY,2:40 PM,38.3325812,-82.9485023
Fairfax High School,High,1993-01-21,Los Angeles,CA,,34.0536909,-118.242766
Amityville High School,High,1993-02-01,Amityville,NY,2:15 PM,40.6789893,-73.4170673
Redmond Junior High School,High,1993-02-01,Redmond,WA,6:30 AM,47.6694141,-122.1238767
Garrett High School,High,1993-02-03,Charleston,SC,20:00:00,32.7884363,-79.9399309
Lexington High School,High,1993-02-03,Lexington,SC,,33.9804494,-81.2374167
Clayton High School,High,1993-02-04,Atlanta,GA,3:30 PM,33.7489924,-84.3902644
Middle River Middle School,Middle,1993-02-08,Middle River,MN,,48.4343071,-96.1640721
Washington-Dix Street Academy (High School),High,1993-02-08,Washington,DC,11:00 AM,4.6529539,-74.0835643
Reseda High School,High,1993-02-22,Los Angeles,CA,10:00:00,34.0536909,-118.242766
Gloucester High School,High,1993-02-26,Gloucester,MA,,42.6159286,-70.6619888
Dozier Middle School,Middle,1993-03-08,Denbigh,VA,,53.1853776,-3.4178289
Harlem High School,High,1993-03-18,Harlem,GA,8:15 AM,33.4145834,-82.3126237
Sumner High School,High,1993-03-25,St. Louis,MO,8:00 AM,38.6280278,-90.1910154
Grant High School,High,1993-04-03,Sacramento,CA,,38.5810606,-121.493895
Ford Middle School,Middle,1993-04-15,Acushnet,MA,,41.6806593,-70.907816
Grant High School,High,1993-04-16,Sacramento,CA,5:25 PM,38.5810606,-121.493895
Mount Tahoma High School,High,1993-04-16,Tacoma,WA,,47.2455013,-122.438329
Nimitz High School,High,1993-05-14,Irving,TX,15:00:00,32.8295183,-96.9442177
Upper Perkiomen High School,High,1993-05-24,Pennsburg,PA,,40.3909328,-75.4921249
Francis T. Nicholls High School,High,1993-05-27,New Orleans,LA,,29.9759983,-90.0782127
Dorsey High School,High,1993-07-07,Los Angeles,CA,2:30 PM,34.0536909,-118.242766
Theodore Roosevelt High School,High,1993-08-03,New York,NY,,40.7127281,-74.0060152
Harper High School,High,1993-08-31,Atlanta,GA,,33.7489924,-84.3902644
Junction City High School,High,1993-09-01,Junction City,KS,,39.0286093,-96.8313978
Roosevelt High School,High,1993-09-02,Dallas,TX,2:45 PM,32.7762719,-96.7968559
Fairfield High School,High,1993-09-12,Fairfield,AL,13:46:00,33.4859402,-86.9119366
Roosevelt High School,High,1993-09-16,Chicago,IL,3:00 PM,41.8755616,-87.6244212
Central Junior High School,Junior High,1993-09-17,Sheridan,WY,,44.797194,-106.956179
Downers South High School,High,1993-09-17,Downers Grove,IL,,41.7936822,-88.0102281
Weatherless Elementary School,Elementary,1993-09-25,Washington,DC,,4.6529539,-74.0835643
Coleman Junior High School,Junior High,1993-09-28,Greenville,MS,8:10 AM,33.4111051,-91.0635857
Dover High School,High,1993-10-12,New Castle,DE,,39.6620572,-75.5663132
J H Johnson Junior High School,Junior High,1993-10-18,Washington,DC,11:30 AM,4.6529539,-74.0835643
Sullivan High School,High,1993-11-01,Chicago,IL,,41.8755616,-87.6244212
Bay Springs High School,High,1993-11-04,Bay Springs,MS,,31.9790425,-89.2872843
New Britain High School,High,1993-11-04,New Britain,CT,,41.6612104,-72.7795419
Terry Parker High School,High,1993-11-04,Jacksonville,FL,,30.3321838,-81.655651
Ridgely Elementary School,High,1993-11-11,Springfield,IL,12:00 AM,39.7990175,-89.6439575
Wauwatosa West High School,High,1993-12-01,Wauwatosa,WI,,43.0494122,-88.0079271
New Britain High School,High,1993-12-02,New Britain,CT,,41.6612104,-72.7795419
Beach High School,High,1993-12-08,Savannah,GA,8:00 PM,32.0790074,-81.0921335
Chatsworth High School,High,1993-12-15,San Fernando Valley,CA,1:40 PM,34.28369,-118.443183
Chelsea High School,High,1993-12-17,Chelsea,MI,,42.3180163,-84.020224
Los Altos High School,High,1994-01-20,Hacienda Heights,CA,3:10 PM,33.9930677,-117.968675
Kennard High School,High,1994-01-21,Kennard,TX,8:02 AM,31.3596258,-95.1832721
Eau Claire High School,High,1994-01-24,Columbia,SC,,34.0003117,-81.0331309
Eliot Junior High School,Junior High,1994-01-26,Washington,DC,3:30 PM,4.6529539,-74.0835643
Paul Lawrence Dunbar High School,High,1994-01-26,Washington,DC,10:50 AM,4.6529539,-74.0835643
Washington Elementary School,Elementary,1994-01-27,San Jose,CA,2:30 PM,37.3361663,-121.890591
Whitman Middle School,Middle,1994-01-31,Seattle,WA,6:30 AM,47.6038321,-122.330062
Osborn High School,High,1994-02-08,Detroit,MI,,42.3315509,-83.0466403
Spartanburg High School,High,1994-02-18,Spartanburg,SC,10:00 PM,34.9498007,-81.9320157
Kemper Military School and College,Other,1994-03-01,Boonville,MO,9:00 AM,38.9751547,-92.7440277
Ensley High School,High,1994-03-03,Birmingham,AL,,33.5206824,-86.8024326
Eastern High School,High,1994-03-09,Washington,DC,11:00 AM,4.6529539,-74.0835643
Goose Creek High School,High,1994-03-15,Charleston,SC,,32.7884363,-79.9399309
Ballard High School,High,1994-03-23,Seattle,WA,12:00 PM,47.6038321,-122.330062
Etowah High School,High,1994-03-25,Cherokee County,GA,,34.2391265,-84.4720272
McNeil High School,High,1994-04-05,Austin,TX,,30.2711286,-97.7436995
Largo High School,High,1994-04-08,Upper Marlboro,MD,9:00 AM,38.8162451,-76.751708
Margaret Leary Elementary School,Elementary,1994-04-12,Butte,MT,,46.0131505,-112.536508
49th Street Elementary School,Elementary,1994-04-13,Los Angeles,CA,,34.0536909,-118.242766
Eliot Junior High School,High,1994-04-19,Washington,DC,,4.6529539,-74.0835643
Dickinson Middle School,Middle,1994-04-20,South Bend,IN,930am,41.6833813,-86.2500066
J T Moore Middle School,Middle,1994-04-21,Nashville,TN,13:30:00,36.1622767,-86.7742984
North Miami High School,High,1994-05-02,North Miami,FL,12:00 PM,25.8900949,-80.1867138
Lakeland Regional High School,High,1994-05-25,Wanaque,NJ,8:30 AM,41.0381526,-74.2940378
LaSalle High School,High,1994-05-25,South Bend,IN,12:30 PM,41.6833813,-86.2500066
Larry A. Ryle High School,High,1994-05-26,Union,KY,9:00 AM,38.9458951,-84.680501
Manchester Elementary School,Elementary,1994-07-24,Manchester,PA,,40.0588102,-76.7211368
Ottumwa High School,High,1994-07-25,Ottumwa,IA,11:38 AM,41.0195659,-92.4116886
Hollywood High School,High,1994-09-07,Los Angeles,CA,3:30 PM,34.0536909,-118.242766
Sweet Home High School,High,1994-09-08,Albany,NY,9:00 AM,42.6511674,-73.754968
Locke High School,High,1994-09-19,Los Angeles,CA,10:20 AM,34.0536909,-118.242766
Lebanon Union High School,High,1994-09-22,Lebanon,OR,,44.5363364,-122.9072329
Grimsley High School,High,1994-10-12,Greensboro,NC,,36.0726355,-79.7919754
Hubbard High School,High,1994-10-17,Chicago,IL,2:15 PM,41.8755616,-87.6244212
Aliso Niguel High school,High,1994-10-31,Aliso Veijo,CA,12:44 PM,33.714862,-116.279094
Thomas Jefferson Elementary School,Elementary,1994-11-05,San Leandro,CA,,37.7249296,-122.1560768
Wickliffe Middle School,Middle,1994-11-07,Wickliffe,OH,,41.605327,-81.453449
West Delaware High School,High,1994-11-08,Manchester,IA,2:00 PM,42.4840907,-91.4555379
Stadium High School,High,1994-11-15,Tacoma,WA,,47.2455013,-122.438329
Cardozo Senior High School,High,1995-01-05,Washington,DC,12:30 PM,4.6529539,-74.0835643
Palm Beach Gardens High School,High,1995-01-10,Palm Beach Gardens,FL,10:30 AM,26.8233946,-80.1386547
Garfield High School,High,1995-01-12,Seattle,WA,,47.6038321,-122.330062
Sacred Heart Middle School,Middle,1995-01-23,Redlands,CA,,34.0550328,-117.1827445
Spingarn High School,High,1995-01-24,Washington,DC,12:00 PM,4.6529539,-74.0835643
Jordan High School,High,1995-02-02,Long Beach,CA,,33.7690164,-118.191604
Chadron Middle School,Middle,1995-02-08,Scottsbluff,NE,,41.862302,-103.6627088
Pershing High School,High,1995-03-03,Detroit,MI,2:00 PM,42.3315509,-83.0466403
Redford High School,High,1995-03-27,Detroit,MI,10:00 AM,42.3315509,-83.0466403
Lake Worth High School,High,1995-06-14,Lake Worth,FL,12:30 PM,26.6159698,-80.0569927
Memorial Middle School,Middle,1995-08-29,Laredo,TX,4:15 PM,27.5030915,-99.5075644
Cypress Junior High School,Junior High,1995-09-12,Memphis,TN,8:30 AM,35.1460249,-90.0517638
Olathe North High School,High,1995-09-14,Olathe,KS,,38.8838856,-94.81887
George Rogers Clark High School,High,1995-09-15,Winchester,KY,,37.990079,-84.1796503
Blount High School,High,1995-09-27,Prichard,AL,11:00 AM,30.7387998,-88.0788889
Tavares Middle School,Middle,1995-09-29,Tavares,FL,,28.8021812,-81.731332
Blackville-Hilda High School,High,1995-10-12,Blackville,SC,8:40 AM,33.3551173,-81.2707218
Lake Howell High School,High,1995-10-23,Casselberry,FL,7:55 AM,28.6714702,-81.3382005
John F. Kennedy High School,High,1995-10-30,Richmond,VA,2:05 PM,37.5385087,-77.43428
Blue Lake Elementary School (bus),Elementary,1995-11-02,Miami Beach,FL,8:15 AM,25.7929198,-80.1353006
Richland High School,High,1995-11-15,Lynnville,TN,,35.3767432,-87.0061171
Thomas A. Edison Vocational and Technical High School,High,1995-11-28,New York,NY,11:30 AM,40.7127281,-74.0060152
Girard High School,High,1996-01-02,Girard,PA,,42.0003907,-80.3187645
Winston Education Center,K-8,1996-01-19,Washington,DC,,4.6529539,-74.0835643
East High School,High,1996-01-26,Memphis,TN,9:45 PM,35.1460249,-90.0517638
Frontier Middle School,Middle,1996-02-02,Moses Lake,WA,,47.146264200000005,-119.27546803763244
Mid-Peninsula High School,High,1996-02-08,Menlo Park,CA,11:00 AM,37.4519671,-122.177992
Jenkins High School,High,1996-02-22,Savannah,GA,,32.0790074,-81.0921335
Beaumont High School (bus),High,1996-02-29,St. Louis,MO,7:00 AM,38.6280278,-90.1910154
North Stanley High School,High,1996-03-11,New Longdon,NC,,35.121888,-77.079527
Swainston Middle School,Middle,1996-03-19,Las Vegas,NV,11:30 AM,36.1672559,-115.148516
Talladega High School,High,1996-04-11,Talladega,AL,,33.4332833,-86.098631
McKinley High School,High,1996-04-15,Washington,DC,,4.6529539,-74.0835643
Bingham Middle School,High,1996-05-14,Taylorsville,UT,,40.6676347,-111.9388027
Colton High School,High,1996-05-22,Colton,CA,2:20 PM,34.0739016,-117.3136547
West Valley High School,High,1996-06-04,Hemet,CA,,33.7475203,-116.9719684
John Marshall High School,High,1996-07-26,Los Angeles,CA,2:00 PM,34.0536909,-118.242766
Dekalb Alternative School,Unknown,1996-09-25,Decatur,GA,,33.7737582,-84.296069
Smedley Elementary School,Elementary,1996-10-02,Philadelphia,PA,,39.9527237,-75.1635262
St. Bernard High School,High,1996-10-04,Playa Del Rey,CA,10:00 PM,33.9541453,-118.4388067
Jacksonville High School bus,High,1996-10-09,Sherwood,AR,,34.8150907,-92.2243153
Sumner High School,High,1996-10-14,St. Louis,MO,,38.6280278,-90.1910154
Highlands High School,High,1996-11-27,Sacramento,CA,,38.5810606,-121.493895
Crown Heights High School,High,1997-01-08,New York,NY,1:15 PM,40.7127281,-74.0060152
Conniston Middle School,Middle,1997-01-27,West Palm Beach,FL,8:40 AM,26.715364,-80.0532942
Wingfield High School,High,1997-02-06,Jackson,MS,8:30 AM,32.2998686,-90.1830408
Morris High School,High,1997-02-13,Bronx,NY,,40.8466508,-73.8785937
Samuel Gompers High School,High,1997-02-13,Bronx,NY,,40.8466508,-73.8785937
Bethel Regional High School,High,1997-02-19,Bethel,AK,8:45 AM,61.3204199,-159.3709719
First Coast High School,High,1997-02-20,Jacksonville,FL,,30.3321838,-81.655651
Rancho High School,High,1997-02-21,Las Vegas,NV,1:00 PM,36.1672559,-115.148516
Pershing High School,High,1997-03-17,Detroit,MI,2:45 PM,42.3315509,-83.0466403
Maria Del Rey Junior High School,High,1997-04-03,Mar Vista,CA,,34.0037605,-118.4391641
John Marshall High School,High,1997-04-28,Los Angeles,CA,,34.0536909,-118.242766
City-as-School High School,High,1997-04-30,New York,NY,12:30 PM,40.7127281,-74.0060152
Northwestern High School,High,1997-05-13,Miami,FL,8:30 AM,25.7741728,-80.19362
Dunbar High School,High,1997-05-20,Dayton,OH,,39.7589478,-84.1916069
Jefferson Davis High School,High,1997-06-24,Montgomery,AL,12:43 PM,32.3669656,-86.3006485
Pearl High School,High,1997-10-01,Pearl,MS,,32.0020993,-90.1989754
Moore West Junior High School,Junior High,1997-10-05,Oklahoma City,OK,2:55 PM,35.4729886,-97.5170536
Wallace High School,High,1997-10-10,Gary,IN,,41.6020962,-87.3370646
Lakeview Centennial High School,High,1997-10-14,Garland,TX,,32.912624,-96.6388833
Lincoln Middle School,Middle,1997-10-15,Palmetto,FL,,27.5214269,-82.5723193
McClymonds High School,High,1997-10-20,Oakland,CA,8:00 PM,37.8044557,-122.271356
John Glenn High School,High,1997-10-22,Norwalk,CA,7:45 AM,33.9092802,-118.0849169
Ribault High School,High,1997-11-07,Jacksonville,FL,8:20 AM,30.3321838,-81.655651
Creekside Elementary School,Elementary,1997-11-13,Sacramento,CA,,38.5810606,-121.493895
Heath High School,High,1997-12-01,West Paducah,KY,7:45 AM,37.0831102,-88.7442202
Stamps High School,High,1997-12-15,Stamps,AR,,33.3654024,-93.4951758
