CDCODE,year,school,city,state,address,urbanrural,race,killed,injured,victims,date,type,NCESSCH,time,Latitude,Longitude
634.0,2018,Sal Castro Middle School,Los Angeles,California,1575 W 2nd St,urban,HISP,0,2,2,1-Feb-18,Middle School,62271012483.0,8:55AM,34.0536909,-118.242766
2404.0,2018,Oxon Hill High School,Oxon Hill,Maryland,6701 Leyte Dr,suburbtown,BLACK,0,1,1,5-Feb-18,High School,240051001123.0,5:15PM,38.8035961,-76.9896573
4705.0,2018,Pearl-Cohn Entertainment Magnet High School,Nashville,Tennessee,904 26th Ave N,urban,BLACK,0,1,1,9-Feb-18,High School,470318001924.0,2:30PM,36.1622767,-86.7742984
1222.0,2018,Marjory Stoneman Douglas High School,Parkland,Florida,5901 Pine Island Rd,suburbtown,WHITE,17,14,31,14-Feb-18,High School,120018002721.0,2:20PM,26.3100794,-80.23727
107.0,2018,Huffman High School,Birmingham,Alabama,950 Springville Road,urban,BLACK,1,1,2,7-Mar-18,High School,10039000141.0,3:45PM,33.5206824,-86.8024326
2405.0,2018,Great Mills High School,Great Mills,Maryland,21130 Great Mills Rd,suburbtown,WHITE,1,1,2,20-Mar-18,High School,240060001224.0,7:55AM,38.2367924,-76.4971762
3621.0,2018,Gloversville Middle School,Gloversville,New York,234 Lincoln Street,suburbtown,WHITE,0,1,1,9-Apr-18,Middle School,361227000986.0,11:00AM,43.0508945,-74.3452991
2905.0,2018,Raytown South Middle School,Raytown,Missouri,8401 E 83rd St,suburbtown,BLACK,0,1,1,12-Apr-18,Middle School,292607001526.0,5:30PM,39.0089226,-94.4622103
1203.0,2018,Forest High School,Ocala,Florida,5000 SE Maricamp Rd,suburbtown,WHITE,0,1,1,20-Apr-18,High School,120126001271.0,8:39AM,29.1871986,-82.1400923
625.0,2018,Highland High School,Palmdale,California,39055 25th St W,suburbtown,HISP,0,1,1,11-May-18,High School,60282009515.0,7:00AM,34.5793131,-118.11711
1313.0,2018,Mount Zion High School,Jonesboro,Georgia,2535 Mt Zion Pkwy,suburbtown,BLACK,1,1,2,18-May-18,High School,130123002068.0,8:00PM,33.5215013,-84.3538128
4814.0,2018,Santa Fe High School,Santa Fe,Texas,16000 Hwy 6,suburbtown,WHITE,10,13,23,18-May-18,High School,483927004473.0,7:30AM,29.3780129,-95.1057625
1805.0,2018,Noblesville West Middle School,Noblesville,Indiana,19900 Hague Rd,suburbtown,WHITE,0,2,2,25-May-18,Middle School,180765000639.0,9:00AM,40.0455918,-86.0085955
4830.0,2018,Skyline High School,Dallas,Texas,7777 Forney Road,urban,HISP,0,1,1,21-Jun-18,High School,481623001357.0,5:00AM,32.7762719,-96.7968559
2402.0,2018,Edgewood High School,Edgewood,Maryland,2415 Willoughby Beach Rd,suburbtown,BLACK,0,1,1,3-Aug-18,High School,240039000690.0,9:15PM,39.4187194,-76.2944016
3402.0,2018,Lakeside Middle School,Millville,New Jersey,2 Sharp St N,suburbtown,WHITE,1,0,1,9-Aug-18,Middle School,341032000271.0,8:15PM,39.4020593,-75.0393368
4705.0,2018,Antioch High School,Antioch,Tennessee,1900 Hobson Pike,urban,BLACK,0,1,1,11-Aug-18,High School,470318001257.0,6:00PM,35.8572885,-85.7169264
1221.0,2018,Palm Beach Central High School,Wellington,Florida,8499 W Forest Hill Blvd,suburbtown,WHITE,0,2,2,17-Aug-18,High School,120150004121.0,9:15PM,26.6586779,-80.2414357
1205.0,2018,Raines High School,Jacksonville,Florida,3663 Raines Ave,urban,BLACK,1,2,3,24-Aug-18,High School,120048000714.0,10:00PM,30.3321838,-81.655651
3204.0,2018,Canyon Springs High School,Las Vegas,Nevada,350 E Alexander Rd,suburbtown,HISP,1,0,1,11-Sep-18,High School,320006000567.0,2:40PM,36.1672559,-115.148516
4824.0,2018,Hebron High School,Carrollton,Texas,4207 Plano Pkwy,suburbtown,WHITE,0,1,1,27-Sep-18,High School,482730008195.0,8:38PM,32.9537349,-96.8902816
200.0,2018,Denali Elementary School,Anchorage,Alaska,952 Cordova St,urban,WHITE,0,1,1,3-Oct-18,Elementary School,20018000072.0,9:30AM,61.2163129,-149.894852
5104.0,2018,Varina High School,Henrico,Virginia,7053 Messer Rd,rural,BLACK,0,1,1,7-Oct-18,High School,510189000835.0,9:30PM,37.4957023,-77.335257
3709.0,2018,Butler High School,Matthews,North Carolina,1810 Matthews Mint Hill Rd,suburbtown,WHITE,1,0,1,29-Oct-18,High School,370297002324.0,7:15AM,35.1159532,-80.7224386
5103.0,2018,Simonsdale Elementary School,Portsmouth,Virginia,4841 Clifford St,urban,WHITE,0,1,1,20-Nov-18,Elementary School,510300001257.0,4:00PM,36.8320081,-76.297699
2105.0,2018,Cawood Elementary School,Cawood,Kentucky,51 Nola St,rural,WHITE,0,2,2,11-Dec-18,Elementary School,210254000534.0,9:00PM,36.7839771,-83.2282326
