School,Year,Date,Time,City,State,Killed,Injured,Latitude,Longitude
Lakeview Centennial High School,2006,1/27/2006,,Garland,Texas,0,2,32.912624,-96.6388833
Westinghouse High School,2006,2/21/2006,7:45 AM,Pittsburgh,Pennsylvania,0,1,40.4416941,-79.9900861
Roseburg High School,2006,2/23/2006,7:45 AM,Roseburg,Oregon,0,1,43.216505,-123.3417381
Pine Middle School,2006,3/14/2006,9:00 AM,Reno,Nevada,0,2,39.5261206,-119.8126581
Venice High School,2006,6/5/2006,3:10 PM,Los Angeles,California,1,0,34.0536909,-118.242766
Orange High School,2006,8/30/2006,1:00 PM,Hillsborough,North Carolina,0,2,36.0752088,-79.0992085
South Hills High School,2006,9/8/2006,1:20 PM,Fort Worth,Texas,0,1,32.753177,-97.3327459
Platte Canyon High School,2006,9/27/2006,11:40 AM,Bailey,Colorado,1,0,39.4064662,-105.4717013
Weston High School,2006,9/29/2006,8:10 AM,Cazenovia,Wisconsin,1,0,43.5230345,-90.196238
West Nickel Mines Amish School,2006,10/2/2006,11:07 AM,Nickel Mines,Pennsylvania,5,5,40.860198,-77.838617
Memorial Middle School,2006,10/9/2006,7:45 AM,Joplin,Missouri,0,0,37.0841838,-94.5133385
Henry Foss High School,2007,1/3/2007,7:30 AM,Tacoma,Washington,1,0,47.2455013,-122.438329
Robert A. Taft Information Technology High School,2007,1/8/2007,10:45 AM,Cincinnati,Ohio,0,0,39.1014537,-84.5124602
William L.Sayre High School,2007,1/18/2007,8:25 AM,Philadelphia,Pennsylvania,0,1,39.9527237,-75.1635262
Herbert Henry Dow High School,2007,3/7/2007,10:57 AM,Midland,Michigan,0,1,43.6155825,-84.2472117
Chicago Vocational Career Academy,2007,4/9/2007,2:30 PM,Chicago,Illinois,0,1,41.8755616,-87.6244212
Springwater Trail High School,2007,4/10/2007,2:15 PM,Gresham,Oregon,0,10,45.4997475,-122.4309766
Liberty Memorial Middle School,2007,5/15/2007,10:00 AM,Los Fresnos,Texas,0,0,26.0714502,-97.4770792
George S. Middleton High School,2007,6/6/2007,12:00 PM,Tampa,Florida,0,0,27.9477595,-82.458444
SuccessTech Academy,2007,10/10/2007,1:15 PM,Cleveland,Ohio,0,4,41.4996574,-81.6936772
Groves High School,2007,10/15/2007,2:45 PM,Garden City,Georgia,0,0,32.1143715,-81.1540013
Crossroads Charter High School,2008,1/16/2008,10:15 AM,Charlotte,North Carolina,0,1,35.2272086,-80.8430827
Hamilton High School,2008,2/4/2008,10:00 AM,Memphis,Tennessee,0,1,35.1460249,-90.0517638
Notre Dame Elementary School,2008,2/7/2008,9:12 AM,Portsmouth,Ohio,0,1,38.7316375,-82.9965441
Mitchell High School,2008,2/11/2008,9:00 AM,Memphis,Tennessee,0,1,35.1460249,-90.0517638
E.O. Green Junior High School,2008,2/12/2008,8:15 AM,Oxnard,California,1,0,34.1976308,-119.180381
Friends of Children Head Start center,2008,3/18/2008,1:00 PM,Carthage,Mississippi,1,1,32.7326356,-89.5361825
Roosevelt High School,2008,4/16/2008,11:54 AM,Fresno,California,1,0,36.7394421,-119.78483
Central High School,2008,8/21/2008,8:10 AM,Knoxville,Tennessee,1,0,35.9603948,-83.9210261
Dillard High School,2008,11/12/2008,11:00 AM,Fort Lauderdale,Florida,1,0,26.1223084,-80.1433786
Central High School,2009,2/17/2009,2:00 PM,Detroit,Michigan,0,2,42.3315509,-83.0466403
John Muir Elementary School,2009,2/20/2009,12:00 PM,Hayward,California,0,0,37.6688205,-122.080796
Ribault High School,2009,3/10/2009,7:22 AM,Jacksonville,Florida,0,0,30.3321838,-81.655651
Larose-Cut Off Middle School,2009,5/18/2009,9:00 AM,Larose,Louisiana,0,0,29.5721903,-90.3830385
Stamford Academy,2009,9/8/2009,8:05 AM,Stamford,Connecticut,0,0,41.0534302,-73.5387341
Virginia Randolph Community High School,2009,9/16/2009,12:30 PM,Glen Allen,Virginia,0,0,37.6659781,-77.506374
Mattituck Junior-Senior High School,2009,10/8/2009,2:00 PM,Mattituck,New York,0,1,40.9912115,-72.5342547
Carolina Forest High School,2009,10/16/2009,8:25 AM,Conway,South Carolina,1,0,33.8360035,-79.0478143
Booker T. Washington High School,2009,12/11/2009,8:10 AM,Shreveport,Louisiana,0,1,32.5135356,-93.7477839
Discovery Middle School,2010,2/5/2010,1:45 PM,Madison,Alabama,1,0,34.6928726,-86.7511427
Deer Creek Middle School,2010,2/23/2010,3:14 PM,Littleton,Colorado,0,2,39.613321,-105.016649
Woodrow Wilson High School,2010,4/28/2010,12:15 PM,Portsmouth,Virginia,0,0,36.8320081,-76.297699
South Gate High School,2010,5/18/2010,7:51 AM,South Gate,California,0,1,33.9463456,-118.200981
Sullivan Central High School,2010,8/30/2010,9:10 AM,Blountville,Tennessee,1,0,36.5331586,-82.326806
Socastee High School,2010,9/21/2010,2:00 PM,Conway,South Carolina,0,1,33.8360035,-79.0478143
Alisal High School,2010,10/1/2010,7:53 AM,Salinas,California,1,0,36.6744117,-121.655037
Kelly Elementary School,2010,10/8/2010,12:00 PM,Carlsbad,California,0,2,33.1580933,-117.3505966
Marinette High School,2010,11/29/2010,1:30 PM,Marinette,Wisconsin,0,0,45.0999594,-87.6307265
Millard South High School,2011,1/5/2011,12:45 PM,Omaha,Nebraska,1,2,41.2587459,-95.9383758
Gardena High School,2011,1/18/2011,10:40 AM,Los Angeles,California,0,2,34.0536909,-118.242766
Louisiana Schnell Elementary School,2011,2/2/2011,10:37 AM,Placerville,California,1,0,38.7296252,-120.798546
Martinsville West Middle,2011,3/25/2011,7:00 AM,Martinsville,Indiana,0,1,39.4278253,-86.428328
Sheeler Charter High School,2011,4/13/2011,12:00 PM,Apopka,Florida,0,1,28.678013,-81.511398
Ross Elementary School,2011,4/19/2011,10:20 AM,Houston,Texas,0,2,29.7589382,-95.3676974
Cape Fear High School,2011,10/24/2011,1:00 PM,Fayetteville,North Carolina,0,1,35.0525759,-78.878292
Cummings Middle School,2012,1/4/2012,8:00 AM,Brownsville,Texas,1,0,25.9015688,-97.4984005
North Forest High School,2012,1/10/2012,12:30 PM,Houston,Texas,0,1,29.7589382,-95.3676974
Walpole Elementary School,2012,2/10/2012,11:00 AM,Walpole,New Hampshire,0,0,43.0795515,-72.4259725
Armin Jahr Elementary School,2012,2/22/2012,1:30 PM,Bremerton,Washington,0,1,47.5653663,-122.6246836
Chardon High School,2012,2/27/2012,7:30 AM,Chardon,Ohio,3,3,41.5824944,-81.2034066
Episcopal School of Jacksonville,2012,3/6/2012,1:15 PM,Jacksonville,Florida,1,0,30.3321838,-81.655651
LeFlore High School,2012,3/15/2012,10:50 AM,Mobile,Alabama,0,0,30.6913462,-88.0437509
Mary Scroggs Elementary School,2012,5/25/2012,2:00 PM,Chapel Hill,North Carolina,1,0,35.9131542,-79.05578
Perry Hall High School,2012,8/27/2012,10:45 AM,Baltimore,Maryland,0,1,39.2908816,-76.610759
Normal Community High School,2012,9/7/2012,8:00 AM,Normal,Illinois,0,0,40.5092961,-88.9843937
Sandy Hook Elementary School,2012,12/14/2012,9:35 AM,Newtown,Connecticut,26,2,41.4134764,-73.3086445
Apostolic Revival Center and Christian School,2013,1/7/2013,11:00 AM,Fort Myers,Florida,1,0,26.640628,-81.8723084
Taft Union High School,2013,1/10/2013,9:00 AM,Taft,California,0,2,35.1424671,-119.456507
Price Middle School,2013,1/31/2013,1:50 PM,Atlanta,Georgia,0,1,33.7489924,-84.3902644
La Salle High School,2013,4/29/2013,8:00 AM,Cincinnati,Ohio,0,0,39.1014537,-84.5124602
Redland Middle School,2013,5/23/2013,,Homestead,Florida,0,1,25.4718946,-80.4759905
Ronald E. McNair Discovery Learning Academy,2013,8/20/2013,12:51 PM,Decatur,Georgia,0,0,33.7737582,-84.296069
Carver High School,2013,8/30/2013,2:25 PM,Winston-Salem,North Carolina,0,1,36.0998131,-80.2440518
Agape Christian Academy,2013,10/4/2013,2:00 PM,Pine Hills,Florida,0,2,28.9497093,-81.4181225
Lanier High School,2013,10/15/2013,12:04 PM,Austin,Texas,0,0,30.2711286,-97.7436995
Sparks Middle School,2013,10/21/2013,7:15 AM,Sparks,Nevada,1,2,39.5404679,-119.7487235
Newman Elementary School,2013,10/23/2013,11:14 AM,Chino,California,0,3,34.0133561,-117.690075
West Orange High School,2013,12/4/2013,1:15 PM,Winter Garden,Florida,0,1,28.5656649,-81.5856742
Arapahoe High School,2013,12/13/2013,12:30 PM,Centennial,Colorado,1,0,39.579155,-104.8769227
Liberty Technology Magnet High School,2014,1/9/2014,2:21 PM,Jackson,Tennessee,0,1,35.6144446,-88.8177418
Berrendo Middle School,2014,1/14/2014,7:30 AM,Roswell,New Mexico,0,3,33.3943282,-104.5229518
King Elementary School,2014,1/15/2014,2:48 PM,Lancaster,Pennsylvania,0,0,40.03813,-76.3056686
Delaware Valley Charter School,2014,1/17/2014,3:20 PM,Philadelphia,Pennsylvania,0,2,39.9527237,-75.1635262
Rebound High School,2014,1/27/2014,12:00 PM,Carbondale,Illinois,0,1,37.7274692,-89.216655
President Theodore Roosevelt High,2014,1/28/2014,8:30 AM,Honolulu,Hawaii,0,1,21.304547,-157.855676
Bend High School,2014,2/7/2014,12:00 PM,Bend,Oregon,0,0,44.0581728,-121.3153096
Salisbury High School,2014,2/10/2014,2:41 PM,Salisbury,North Carolina,0,1,35.6709727,-80.4742261
Success Academy,2014,2/20/2014,10:30 AM,Raytown,Missouri,1,0,39.0089226,-94.4622103
Benjamin Banneker High School,2014,3/25/2014,1:00 PM,College Park,Georgia,0,0,33.6534427,-84.4493725
D. H. Conley High School,2014,4/9/2014,1:30 PM,Greenville,North Carolina,0,0,35.613224,-77.3724593
Reynolds High School,2014,6/10/2014,8:07 AM,Troutdale,Oregon,1,1,45.5317928,-122.391155
Stellar Leadership Academy,2014,9/9/2014,,Miami,Florida,0,1,25.7741728,-80.19362
Fern Creek High School,2014,9/30/2014,1:00 PM,Louisville,Kentucky,0,1,38.2542376,-85.759407
Albemarle High School,2014,9/30/2014,7:40 AM,Albemarle,North Carolina,0,1,35.3501426,-80.2000578
Marysville Pilchuck High School,2014,10/24/2014,10:39 AM,Marysville,Washington,4,1,48.0517429,-122.1768209
Hand in Hand Montessori,2015,1/26/2015,3:07 PM,Roseville,Minnesota,0,0,45.0060767,-93.1566107
North Thurston High School,2015,4/27/2015,7:25 AM,Lacey,Washington,0,0,47.0263876,-122.8072257
W.S. Hornsby Elementary School,2015,8/25/2015,10:45 AM,Augusta,Georgia,0,1,33.4709714,-81.9748429
Harrisburg High School,2015,9/30/2015,10:00 AM,Harrisburg,South Dakota,0,1,43.4313466,-96.6985231
Karen Wagner High School,2015,10/15/2015,9:15 AM,San Antonio,Texas,0,0,43.9850693,-75.504911
Vereen School,2015,11/5/2015,,Moultrie,Georgia,0,0,31.179998,-83.7887928
Lecanto High School,2015,11/10/2015,10:30 AM,Lecanto,Florida,0,0,28.8516486,-82.4875982
Harmony Grove High School,2016,1/13/2016,3:00 PM,Camden,Arkansas,0,1,33.5845582,-92.8343294
Benjamin Franklin High School,2016,1/29/2016,12:00 PM,Philadelphia,Pennsylvania,0,0,39.9527237,-75.1635262
Independence High School,2016,2/12/2016,7:53 AM,Glendale,Arizona,1,0,33.5386858,-112.185994
Madison High School,2016,2/29/2016,11:15 AM,Middletown,Ohio,0,4,39.516644,-84.4041725
Huffman High School,2016,3/15/2016,2:30 PM,Birmingham,Alabama,0,1,33.5206824,-86.8024326
Alpine High School,2016,9/8/2016,9:00 AM,Alpine,Texas,0,1,30.3602181,-103.6628596
Townville Elementary School,2016,9/28/2016,1:45 PM,Townville,South Carolina,1,2,34.5637137,-82.8984775
CF Vigor High School,2016,10/11/2016,3:45 PM,Prichard,Alabama,0,1,30.7387998,-88.0788889
Linden-McKinley STEM Academy,2016,10/13/2016,2:40 PM,Columbus,Ohio,0,2,39.9622601,-83.0007065
June Jordan High School for Equity,2016,10/18/2016,3:20 PM,San Francisco,California,0,4,37.7792588,-122.4193286
Union Middle School,2016,10/25/2016,3:00 PM,Sandy,Utah,0,1,40.5710454,-111.8953815
Bay City Western High School,2016,11/11/2016,12:30 PM,Auburn,Michigan,0,1,43.603358,-84.069705
Mueller Park Jr. High,2016,12/1/2016,8:13 AM,Bountiful,Utah,0,0,40.8894611,-111.8804817
West Liberty-Salem Middle/High School,2017,1/20/2017,7:36 AM,West Liberty,Ohio,0,2,40.2522771,-83.7557663
Scotlandville Magnet High School,2017,2/6/2017,12:00 PM,Baton Rouge,Louisiana,0,0,30.4494155,-91.1869659
Robert E. Lee High School,2017,3/16/2017,3:00 PM,Montgomery,Alabama,0,1,32.3669656,-86.3006485
North Park Elementary School,2017,4/10/2017,10:30 AM,San Bernardino,California,2,1,34.1081621,-117.28946
Moss Bluff Elementary School,2017,5/15/2017,7:50 AM,Lake Charles,Louisiana,0,1,30.2305095,-93.2169807
Greensboro High School,2017,5/24/2017,11:30 AM,Greensboro,Alabama,0,0,32.7045753,-87.5958396
Warren Elementary School,2017,6/16/2017,1:51 PM,Chicago,Illinois,0,2,41.8755616,-87.6244212
Columbus Scioto 6-12,2017,9/8/2017,8:33 AM,Columbus,Ohio,0,0,39.9622601,-83.0007065
Freeman High School,2017,9/13/2017,10:00 AM,Rockford,Washington,1,3,47.4521207,-117.130747
Mattoon High School,2017,9/20/2017,11:30 AM,Mattoon,Illinois,0,1,39.4842821,-88.3773279
Pattengill Academy,2017,11/3/2017,4:30 PM,Lansing,Michigan,0,1,42.7337712,-84.5553805
Benjamin Banneker High School,2017,11/9/2017,3:25 PM,College Park,Georgia,0,2,33.6534427,-84.4493725
Rancho Tehama Elementary School,2017,11/14/2017,7:50 AM,Corning,California,0,2,39.9276572,-122.179155
Aztec High School,2017,12/7/2017,8:04 AM,Aztec,New Mexico,2,0,36.8220629,-107.992899
High Point Central High School,2017,12/11/2017,2:08 PM,High Point,North Carolina,0,0,35.9556924,-80.0053176
The NET Charter High School,2018,1/22/2018,1:30 PM,New Orleans,Louisiana,0,0,29.9759983,-90.0782127
Italy High School,2018,1/22/2018,7:53 AM,Italy,Texas,0,1,32.1840381,-96.8847194
Marshall County High School,2018,1/23/2018,7:57 AM,Benton,Kentucky,2,14,36.8572781,-88.350315
Murphy High School,2018,1/25/2018,11:20 AM,Mobile,Alabama,0,0,30.6913462,-88.0437509
Salvador B. Castro Middle School,2018,2/1/2018,9:00 AM,Los Angeles,California,0,5,34.0536909,-118.242766
Marjory Stoneman Douglas High School,2018,2/14/2018,2:21 PM,Parkland,Florida,17,17,26.3100794,-80.23727
Dalton High School,2018,2/28/2018,11:30 AM,Dalton,Georgia,0,0,34.7691867,-84.9702475
Huffman High School,2018,3/7/2018,3:45 PM,Birmingham,Alabama,1,0,33.5206824,-86.8024326
Seaside High School,2018,3/13/2018,1:20 PM,Seaside,California,0,3,36.62593,-121.8169260491048
Big Sky High School,2018,3/16/2018,12:45 PM,Missoula,Montana,0,0,46.8701049,-113.995267
Douglass Park Elementary School,2018,3/19/2018,4:23 PM,Portsmouth,Virginia,0,1,36.8320081,-76.297699
Great Mills High School,2018,3/20/2018,7:55 AM,Great Mills,Maryland,1,1,38.2367924,-76.4971762
Eupora High School,2018,3/28/2018,2:40 PM,Europa,Mississippi,0,0,36.09007,-90.1776
Jackson High School,2018,4/19/2018,1:44 PM,Jackson,Michigan,0,0,42.2465036,-84.4016963
Forest High School,2018,4/20/2018,8:39 AM,Ocala,Florida,0,1,29.1871986,-82.1400923
Benjamin Elijah Mays High School,2018,4/23/2018,1:00 PM,Atlanta,Georgia,0,0,33.7489924,-84.3902644
Highland High School,2018,4/25/2018,2:30 PM,Albuquerque,New Mexico,0,1,35.0841034,-106.650985
Highland High School,2018,5/11/2018,7:05 AM,Palmdale,California,0,1,34.5793131,-118.11711
Dixon High School,2018,5/16/2018,8:00 AM,Dixon,Illinois,0,0,41.8425197,-89.4814291
Santa Fe High School,2018,5/18/2018,7:30 AM,Santa Fe,Texas,10,13,29.3780129,-95.1057625
Noblesville West Middle School,2018,5/25/2018,9:06 AM,Noblesville,Indiana,0,2,40.0455918,-86.0085955
Villa Heights Elementary School,2018,8/30/2018,7:30 AM,Charlotte,North Carolina,0,0,35.2272086,-80.8430827
Canyon Springs High School,2018,9/11/2018,2:35 PM,North Las Vegas,Nevada,1,0,36.2005843,-115.121584
Lawrence Orr Elementary School,2018,9/24/2018,9:00 AM,Charlotte,North Carolina,0,0,35.2272086,-80.8430827
Denali Montessori Elementary School,2018,10/3/2018,10:00 AM,Anchorage,Alaska,0,1,61.2163129,-149.894852
Battle Creek Academy,2018,10/12/2018,1:00 PM,Battle Creek,Michigan,0,0,42.3192548,-85.1824269
Paul Laurence Dunbar School,2018,10/22/2018,8:15 AM,Bridgeport,Connecticut,0,0,41.1792695,-73.1887863
Butler High School,2018,10/29/2018,7:00 AM,Matthews,North Carolina,1,0,35.1159532,-80.7224386
Simonsdale Elementary School,2018,11/20/2018,3:45 PM,Portsmouth,Virginia,0,1,36.8320081,-76.297699
Dennis Intermediate School,2018,12/13/2018,8:00 AM,Richmond,Indiana,0,0,39.8286897,-84.8898521
Cascade Middle School,2019,1/11/2019,10:30 AM,Eugene,Oregon,0,0,44.0505054,-123.0950506
North High School,2019,1/16/2019,12:30 PM,Minneapolis,Minnesota,0,0,44.9772995,-93.2654692
Frederick Douglass High School,2019,2/8/2019,12:00 PM,Baltimore,Maryland,0,1,39.2908816,-76.610759
V. Sue Cleveland High School,2019,2/14/2019,7:15 AM,Rio Rancho,New Mexico,0,0,35.2702448,-106.6329806
Robert E. Lee High School,2019,2/26/2019,11:00 AM,Montgomery,Alabama,0,1,32.3669656,-86.3006485
Highlands Elementary School,2019,3/1/2019,1:30 PM,Mission,Kansas,0,0,39.0277832,-94.6557914
Blountsville Elementary School,2019,3/22/2019,12:30 PM,Blountsville,Alabama,0,1,34.0814863,-86.5911027
Prescott High School,2019,4/1/2019,9:14 AM,Prescott,Arkansas,0,1,33.8026107,-93.3810057
New Joseph Bonnheim Community Charter School,2019,4/3/2019,1:45 PM,Sacramento,California,0,0,38.5810606,-121.493895
Saint Clair Evans Academy,2019,4/3/2019,11:00 AM,Jacksonville,Florida,0,0,30.3321838,-81.655651
Flex High School,2019,4/17/2019,10:00 AM,Flint,Michigan,0,0,43.0161693,-83.6900211
STEM School Highlands Ranch,2019,5/7/2019,1:52 PM,Highlands Ranch,Colorado,1,8,39.5497243,-104.969565
Menta Academy North,2019,6/10/2019,1:45 PM,Waukegan,Illinois,0,0,42.3636331,-87.8447938
Hendley Elementary School,2019,6/12/2019,4:20 PM,Washington,District of Columbia,0,0,38.8950368,-77.0365427
Blount Elementary School,2019,8/8/2019,7:26 AM,Montgomery,Alabama,0,0,32.3669656,-86.3006485
Hollenbeck Middle School,2019,8/27/2019,11:00 AM,Los Angeles,California,0,1,34.0536909,-118.242766
South Aiken High School,2019,9/10/2019,,Aiken,South Carolina,0,0,33.5616173,-81.7224579
Aiton Elementary School,2019,9/25/2019,,Washington,District of Columbia,0,0,38.8950368,-77.0365427
Ridgway High School,2019,10/22/2019,9:00 AM,Santa Rosa,California,0,1,38.4404925,-122.7141049
Achievement Academy,2019,11/11/2019,2:00 PM,Baltimore,Maryland,0,1,39.2908816,-76.610759
Esteban Torres High School,2019,11/13/2019,9:00 AM,Los Angeles,California,1,0,34.0536909,-118.242766
Saugus High School,2019,11/14/2019,7:38 AM,Saugus,California,2,3,34.4493489,-118.5168257
Waukesha South High School,2019,12/2/2019,9:00 AM,Waukesha,Wisconsin,0,1,43.0116784,-88.2314813
Oshkosh West High School,2019,12/3/2019,9:00 AM,Oshkosh,Wisconsin,0,1,44.0206919,-88.5408574
