,LONCOD,LATCOD,CDCODE,year_x,school,city_x,state_x,address,urbanrural,race,killed_x,injured_x,victims,date_x,type,NCESSCH,time_x,uid,nces_school_id,nces_district_id,district_name,date_y,school_year,year_y,time_y,day_of_week,city_y,state_y,school_type,enrollment,killed_y,injured_y,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,Incident_ID,Date,Quarter,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
31,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,103,470222000775,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,20080821TNCEK,2008-08-21,Fall,Knoxville,TN,High,Cafeteria,Yes,School Start,08:11:00,Yes,No,No,Yes
32,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,103,470222000775,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,20090217MICED,2009-02-17,Winter,Detroit,MI,High,Hallway,Yes,Afternoon Classes,2:20 PM,No,No,No,No
33,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,103,470222000775,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,20180517MOCEK,2018-05-17,Spring,Kansas City,MO,High,Off School Property,No,School Event,8:30 PM,No,No,No,No
34,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,103,470222000775,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,20180924PACEP,2018-09-24,Fall,Philadelphia,PA,High,Front of School,Yes,School Start,8:15 AM,No,No,,No
35,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,103,470222000775,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,20190118ALCET,2019-01-18,Winter,Tuscaloosa,AL,High,Parking Lot,Yes,Afternoon Classes,2:30 PM,No,Yes,No,No
36,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,103,470222000775,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,20211125SCCEP,2021-11-04,Fall,Pageland,SC,High,Outside on School Property,No,Night,,,No,No,No
37,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,105,261200004670,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,19700928IACED,1970-09-28,Fall,Davenport,IA,High,Bathroom,Yes,,,No,Yes,No,No
38,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,105,261200004670,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,19710928MNCEM,1971-09-28,Fall,Minneapolis,MN,High,Inside School Building,Yes,Lunch,12:00 PM,No,No,No,No
39,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,105,261200004670,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,19731024MNCEM,1973-10-24,Fall,Minneapolis,MN,High,Outside on School Property,Yes,,,No,No,No,No
40,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,105,261200004670,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,19750711MOCES,1975-07-11,Summer,St. Louis,MO,High,School Bus,Yes,School Start,7:35 AM,No,No,No,No
41,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,105,261200004670,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,19801013ALCET,1980-10-13,Fall,Tuscaloosa,AL,High,ND,No,After School,,,No,No,No
42,-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,105,261200004670,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,19840206KYCEL,1984-02-06,Winter,Louisville,KY,High,Outside on School Property,Yes,Lunch,,No,No,No,No
