School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
Dulaney High School,High School,2015,09/04/2015,3:00Pm,Lutherville Timonium,Maryland,Suburbtown,White,0,2,2,-76.612039,39.460917
Northside High School,High School,2015,09/11/2015,9:55Pm,Lafayette,Louisiana,Urban,Black,0,1,1,-92.002677,30.251159
Central Elementary School,Elementary School,2015,09/22/2015,3:00Pm,Statesville,North Carolina,Rural,White,1,0,1,-80.95894,35.92732
Harrisburg High School,High School,2015,09/30/2015,10:00Am,Harrisburg,South Dakota,Rural,White,0,1,1,-96.69975,43.43212
Excel Southwest High School,High School,2015,11/06/2015,12:45Pm,Chicago,Illinois,Urban,Black,0,3,3,-87.69065,41.76607
Sulphur Rock Stem Magnet Elementary School,Elementary School,2015,11/11/2015,7:00Am,Sulphur Rock,Arkansas,Rural,White,0,1,1,-91.498672,35.754102
Harmony Grove High School,High School,2016,01/13/2016,3:00Pm,Camden,Arkansas,Rural,White,0,1,1,-92.779558,33.651403
Lawrence Central High School,High School,2016,01/22/2016,9:30Pm,Indianapolis,Indiana,Suburbtown,Black,0,1,1,-86.039537,39.85598
Whites Creek High School,High School,2016,01/29/2016,8:10Pm,Whites Creek,Tennessee,Rural,Black,1,0,1,-86.819019,36.276643
Muskegon Heights High School,High School,2016,02/09/2016,9:30Pm,Muskegon (Muskegon Heights),Michigan,Suburbtown,Black,0,3,3,-86.245874,43.207974
Independence High School,High School,2016,02/12/2016,8:00Am,Glendale,Arizona,Suburbtown,Hisp,1,0,1,-112.221045,33.53216
Faribault Middle School,Middle School,2016,02/23/2016,12:44Pm,Faribault,Minnesota,Suburbtown,White,0,1,1,-93.278556,44.270615
Madison Jr/Sr High School,Grades 7-12,2016,02/29/2016,11:15Am,Middletown,Ohio,Rural,White,0,2,2,-84.443334,39.533851
Huffman High School,High School,2016,03/15/2016,2:25Pm,Birmingham,Alabama,Urban,Black,0,1,1,-86.681986,33.612911
East High School,High School,2016,05/04/2016,3:00Pm,Pueblo,Colorado,Urban,Hisp,0,1,1,-104.57715,38.289379
High Point High School,High School,2016,05/05/2016,5:00Pm,Beltsville,Maryland,Suburbtown,Hisp,1,1,2,-76.943553,39.042517
Southside High School,High School,2016,05/13/2016,8:30Am,Greenville,South Carolina,Suburbtown,Black,0,1,1,-82.396129,34.796705
Augusta High School,High School,2016,05/15/2016,2:00Pm,Augusta,Kansas,Suburbtown,White,0,2,2,-96.969605,37.696642
Thompson K-8 International Academy,K-8,2016,05/21/2016,10:50Pm,Southfield,Michigan,Urban,Black,0,2,2,-83.210071,42.48272
Technical High School,High School,2016,05/24/2016,9:00Am,Saint Cloud,Minnesota,Urban,White,0,1,1,-94.16553,45.554372
Woodrow Wilson Junior High School,Grades 7-8,2016,06/30/2016,7:35Pm,Hanford,California,Urban,Hisp,0,1,1,-119.654333,36.334295
Sandusky High School,High School,2016,06/30/2016,12:00Am,Sandusky,Ohio,Suburbtown,Black,0,1,1,-82.712893,41.434663
Chaffey High School,High School,2016,07/21/2016,9:33Pm,Ontario,California,Urban,Hisp,0,1,1,-117.652782,34.078992
Ava High School,High School,2016,07/25/2016,1:45Am,Ava,Missouri,Suburbtown,White,0,1,1,-92.658542,36.95865
Wedgewood Middle School,Middle School,2016,08/17/2016,8:10Pm,Columbus,Ohio,Urban,White,0,2,2,-83.099323,39.936638
Mclain High School,High School,2016,09/02/2016,9:15Pm,Tulsa,Oklahoma,Urban,Black,0,1,1,-95.974188,36.225223
Alpine High School,High School,2016,09/08/2016,9:00Am,Alpine,Texas,Suburbtown,White,0,1,1,-103.665798,30.371983
Kearns High School,High School,2016,09/08/2016,9:20Pm,Salt Lake City (Kearns),Utah,Suburbtown,White,0,1,1,-112.004332,40.649954
Smalls Athletic Field,High School,2016,09/09/2016,9:30Pm,York,Pennsylvania,Unknown,Unknown,0,2,2,Unknown,Unknown
T.A. Wilson Academy,High School,2016,09/26/2016,2:30Pm,Jackson,Michigan,Urban,Black,0,1,1,-84.412684,42.240483
Elder High School,High School,2016,09/27/2016,9:45Pm,Cincinnati,Ohio,Urban,White,0,3,3,-84.572063,39.121525
Townville Elementary,Elementary School,2016,09/28/2016,1:45Pm,Townville,South Carolina,Rural,White,1,2,3,-82.903356,34.563258
Vigor High School,High School,2016,10/11/2016,3:45Pm,Prichard,Alabama,Suburbtown,Black,0,1,1,-88.080692,30.743233
Linden-Mckinley Stem Academy,Grades 7-12,2016,10/13/2016,2:40Pm,Columbus,Ohio,Urban,Black,0,2,2,-82.973741,40.00914
Benjamin E. Mays High School,High School,2016,10/15/2016,11:27Pm,Atlanta,Georgia,Urban,Black,0,1,1,-84.50383,33.733869
June Jordan School For Equity,High School,2016,10/18/2016,3:17Pm,San Francisco,California,Urban,Hisp,0,3,3,-122.425241,37.719558
Mott Hall Charter School,Elementary School,2016,10/19/2016,2:00Pm,Bronx,New York,Urban,Hisp,0,1,1,-73.902119,40.831004
Union Middle School,Middle School,2016,10/25/2016,3:00Pm,Sandy,Utah,Suburbtown,White,0,1,1,-111.873061,40.60715
Houston Can Academy,High School,2016,11/07/2016,12:35Pm,Houston,Texas,Urban,Unknown,1,1,2,-95.549249,29.674479
Savannah High School,High School,2016,11/09/2016,9:00Pm,Savannah,Georgia,Urban,Black,0,1,1,-81.056241,32.06271
Bayless High School,High School,2016,12/09/2016,7:15Pm,Saint Louis,Missouri,Suburbtown,White,0,1,1,-90.30145,38.552048
West Liberty-Salem High School,High School,2017,01/20/2017,7:35Am,West Liberty,Ohio,Rural,White,0,2,2,-83.754234,40.215565
Mark Twain Elementary School,Elementary School,2017,01/25/2017,7:50Am,Detroit,Michigan,Urban,Black,1,0,1,-83.162521,42.26986
Scullen Middle School,Elementary School,2017,01/27/2017,7:30Pm,Naperville,Illinois,Urban,White,1,0,1,-88.210347,41.69644
South Aiken High School,High School,2017,01/27/2017,9:00Pm,Aiken,South Carolina,Suburbtown,White,0,3,3,-81.71303,33.521766
Palmer Pillans Middle School,Middle School,2017,01/30/2017,6:20Pm,Mobile,Alabama,Urban,Black,0,1,1,-88.08544,30.628471
Lee High School,High School,2017,03/16/2017,3:00Pm,Montgomery,Alabama,Urban,Black,0,1,1,-86.271513,32.377915
King City High School,High School,2017,03/21/2017,11:01Am,King City,California,Suburbtown,Hisp,0,1,1,-121.133205,36.209676
Linton Middle School,Middle School,2017,03/28/2017,4:30Pm,Pittsburgh (Penn Hills),Pennsylvania,Suburbtown,Black,1,0,1,-79.813136,40.48121
North Park Elementary School,Elementary School,2017,04/10/2017,10:27Am,San Bernardino,California,Urban,Hisp,2,1,3,-117.301345,34.179349
Booker T. Washington High School,High School,2017,04/15/2017,9:05Am,Tulsa,Oklahoma,Urban,White,0,1,1,-95.970804,36.187999
Moss Bluff Elementary,Elementary School,2017,05/15/2017,8:00Am,Lake Charles (Moss Bluff),Louisiana,Rural,White,0,1,1,-93.202819,30.29956
Mclain High School,High School,2017,05/26/2017,Unknown,Tulsa,Oklahoma,Urban,Black,0,1,1,-95.974188,36.225223
Warren Elementary School,Elementary School,2017,06/16/2017,1:45Pm,Chicago,Illinois,Urban,Black,0,2,2,-87.574964,41.727731
Jfk Stadium,High School,2017,06/22/2017,6:45Pm,Springfield,Missouri,Unknown,Unknown,0,1,1,Unknown,Unknown
North Little Rock High School,High School,2017,09/08/2017,9:30Pm,North Little Rock,Arkansas,Urban,Black,0,1,1,-92.268121,34.77634
Freeman High School,High School,2017,09/13/2017,10:00Am,Rockford,Washington,Rural,White,1,3,4,-117.19638,47.519667
Mattoon High School,High School,2017,09/20/2017,11:30Am,Mattoon,Illinois,Suburbtown,White,0,1,1,-88.386955,39.474405
Callaway High School,High School,2017,09/20/2017,8:15Pm,Jackson,Mississippi,Urban,Black,0,1,1,-90.171424,32.384835
Southern Middle School,Middle School,2017,09/28/2017,7:30Pm,Lexington,Kentucky,Urban,White,0,1,1,-84.511854,37.979064
Rocky Mount High School,High School,2017,10/19/2017,4:00Pm,Rocky Mount,North Carolina,Urban,Black,0,1,1,-77.834874,35.939076
Pattengill Academy,Middle School,2017,11/03/2017,4:30Pm,Lansing,Michigan,Urban,Black,0,1,1,-84.524561,42.739616
Banneker High School,High School,2017,11/09/2017,3:30Pm,Atlanta,Georgia,Suburbtown,Black,0,2,2,-84.516471,33.59134
Rancho Tehama Elementary School,Elementary School,2017,11/14/2017,8:00Am,Corning,California,Rural,Hisp,0,1,1,-122.398455,40.015716
Aztec High School,High School,2017,12/07/2017,8:04Am,Aztec,New Mexico,Suburbtown,White,2,0,2,-107.990243,36.820718
Champaign Central High School,High School,2017,12/08/2017,9:20Pm,Champaign,Illinois,Urban,White,0,3,3,-88.252835,40.116662
Roosevelt Elementary,Elementary School,2017,12/11/2017,3:30Pm,Hanford,California,Urban,Hisp,0,1,1,-119.658392,36.31874
Beecher High School,High School,2017,12/19/2017,9:15Pm,Mount Morris,Michigan,Suburbtown,Unknown,0,1,1,-83.715607,43.098421
Italy High School,High School,2018,01/22/2018,7:50Am,Italy,Texas,Rural,White,0,1,1,-96.878968,32.181129
Marshall County High School,High School,2018,01/23/2018,8:57Am,Benton,Kentucky,Rural,White,2,14,16,-88.332917,36.912835
Lincoln High School,High School,2018,01/31/2018,3:51Pm,Philadelphia,Pennsylvania,Urban,Black,1,0,1,-75.043126,40.042773
Sal Castro Middle School,Middle School,2018,02/01/2018,8:55Am,Los Angeles,California,Urban,Hisp,0,2,2,-118.262999,34.061886
Oxon Hill High School,High School,2018,02/05/2018,5:15Pm,Oxon Hill,Maryland,Suburbtown,Black,0,1,1,-76.992311,38.797563
Pearl-Cohn Entertainment Magnet High School,High School,2018,02/09/2018,2:30Pm,Nashville,Tennessee,Urban,Black,0,1,1,-86.814874,36.164123
Marjory Stoneman Douglas High School,High School,2018,02/14/2018,2:20Pm,Parkland,Florida,Suburbtown,White,17,14,31,-80.268717,26.304429
Huffman High School,High School,2018,03/07/2018,3:45Pm,Birmingham,Alabama,Urban,Black,1,1,2,-86.681986,33.612911
Great Mills High School,High School,2018,03/20/2018,7:55Am,Great Mills,Maryland,Suburbtown,White,1,1,2,-76.487496,38.247434
Gloversville Middle School,Middle School,2018,04/09/2018,11:00Am,Gloversville,New York,Suburbtown,White,0,1,1,-74.364074,43.052839
Raytown South Middle School,Middle School,2018,04/12/2018,5:30Pm,Raytown,Missouri,Suburbtown,Black,0,1,1,-94.449085,38.972618
Forest High School,High School,2018,04/20/2018,8:39Am,Ocala,Florida,Suburbtown,White,0,1,1,-82.066682,29.14362
Highland High School,High School,2018,05/11/2018,7:00Am,Palmdale,California,Suburbtown,Hisp,0,1,1,-118.175852,34.592148
Mount Zion High School,High School,2018,05/18/2018,8:00Pm,Jonesboro,Georgia,Suburbtown,Black,1,1,2,-84.310484,33.554474
Santa Fe High School,High School,2018,05/18/2018,7:30Am,Santa Fe,Texas,Suburbtown,White,10,13,23,-95.141171,29.392106
Noblesville West Middle School,Middle School,2018,05/25/2018,9:00Am,Noblesville,Indiana,Suburbtown,White,0,2,2,-86.031354,40.077165
Skyline High School,High School,2018,06/21/2018,5:00Am,Dallas,Texas,Urban,Hisp,0,1,1,-96.689761,32.779362
Edgewood High School,High School,2018,08/03/2018,9:15Pm,Edgewood,Maryland,Suburbtown,Black,0,1,1,-76.286196,39.423364
Lakeside Middle School,Middle School,2018,08/09/2018,8:15Pm,Millville,New Jersey,Suburbtown,White,1,0,1,-75.04217,39.417662
Antioch High School,High School,2018,08/11/2018,6:00Pm,Antioch,Tennessee,Urban,Black,0,1,1,-86.598953,36.047367
Palm Beach Central High School,High School,2018,08/17/2018,9:15Pm,Wellington,Florida,Suburbtown,White,0,2,2,-80.179645,26.652514
Raines High School,High School,2018,08/24/2018,10:00Pm,Jacksonville,Florida,Urban,Black,1,2,3,-81.709708,30.382218
Canyon Springs High School,High School,2018,09/11/2018,2:40Pm,Las Vegas,Nevada,Suburbtown,Hisp,1,0,1,-115.135695,36.233566
Hebron High School,High School,2018,09/27/2018,8:38Pm,Carrollton,Texas,Suburbtown,White,0,1,1,-96.858636,33.035521
Denali Elementary School,Elementary School,2018,10/03/2018,9:30Am,Anchorage,Alaska,Urban,White,0,1,1,-149.881113,61.213281
Varina High School,High School,2018,10/07/2018,9:30Pm,Henrico,Virginia,Rural,Black,0,1,1,-77.378427,37.471892
Butler High School,High School,2018,10/29/2018,7:15Am,Matthews,North Carolina,Suburbtown,White,1,0,1,-80.691593,35.120282
Simonsdale Elementary School,Elementary School,2018,11/20/2018,4:00Pm,Portsmouth,Virginia,Urban,White,0,1,1,-76.382449,36.826811
Cawood Elementary School,Elementary School,2018,12/11/2018,9:00Pm,Cawood,Kentucky,Rural,White,0,2,2,-83.229837,36.784261
